World Rank,Institution,Country,Share,Count,Year,Publication share
477,University of Nebraska Medical Center (UNMC),United States of America (USA),17.16,32,2016,0.024798319913825837
478,Shenzhen University (SZU),China,17.09,72,2016,0.05579621980610814
479,Nara Institute of Science and Technology (NAIST),Japan,17.01,45,2016,0.034872637378817586
480,The George Washington University (GW),United States of America (USA),16.97,72,2016,0.05579621980610814
481,University of Jinan (UJN),China,16.89,27,2016,0.020923582427290553
482,University of Rostock,Germany,16.82,80,2016,0.06199579978456459
483,Tokyo Medical and Dental University (TMDU),Japan,16.82,53,2016,0.041072217357274045
484,Augusta University,United States of America (USA),16.79,41,2016,0.031772847389589354
485,Bilkent University,Turkey,16.76,36,2016,0.02789810990305407
486,University of Lorraine (UL),France,16.73,104,2016,0.08059453971993398
487,Hannover Medical School (MHH),Germany,16.6,75,2016,0.05812106229802931
488,National Central University (NCU),Taiwan,16.47,105,2016,0.08136948721724103
489,Tokyo Metropolitan University (TMU),Japan,16.44,125,2016,0.09686843716338218
490,Institute of Science and Technology Austria (IST Austria),Austria,16.43,41,2016,0.031772847389589354
491,University of Wyoming,United States of America (USA),16.43,51,2016,0.03952232236265993
492,Utah State University (USU),United States of America (USA),16.36,55,2016,0.04262211235188816
493,Nanjing University of Information Science and Technology (NUIST),China,16.29,63,2016,0.04882169233034462
494,"University of Nevada, Las Vegas (UNLV)",United States of America (USA),16.22,57,2016,0.04417200734650227
495,University of Porto (UP),Portugal,16.11,102,2016,0.07904464472531986
496,University of Rome Tor Vergata,Italy,16.1,180,2016,0.13949054951527035
497,University College Cork (UCC),Ireland,16.07,71,2016,0.05502127230880108
498,University of Crete (UOC),Greece,16.06,54,2016,0.041847164854581106
499,Deakin University,Australia,16.05,49,2016,0.03797242736804581
500,University of Aberdeen,United Kingdom (UK),15.99,82,2016,0.06354569477917871
