Rank,University,Country,Article,Citation,Total Document,AIT,CIT,Collaboration,Total
23,University of Melbourne,AUSTRALIA,109.99,112.69,52.54,97.18,78.44,79.32,530.17
24,Universite de Paris,FRANCE,105.37,113.73,52.28,97.51,80.47,80.31,529.67
25,University of California San Diego,USA,105.23,114.73,51.85,98.24,81.77,74.65,526.47
26,University of California San Francisco,USA,102.03,114.51,51.74,99.12,83.52,73.21,524.13
27,National University of Singapore,SINGAPORE,105.95,111.67,50.51,95.87,78.38,80.01,522.39
28,Cornell University,USA,105.38,113.59,51.83,96.59,80.09,73.66,521.14
29,University of British Columbia,CANADA,105.86,110.59,51.61,95.62,77.5,79.32,520.51
30,Yale University,USA,104.37,112.8,51.95,97.06,80.32,73.57,520.07
31,Universidade de Sao Paulo,BRAZIL,114.48,107.64,54.05,93.26,71.87,78.31,519.61
32,Monash University,AUSTRALIA,107.05,110.04,51.19,94.63,76.29,78.05,517.26
33,University of California Berkeley,USA,101.08,114.18,49.9,96.78,81.44,73.51,516.89
34,University of Queensland,AUSTRALIA,105.89,109.98,50.34,94.45,76.38,77.46,514.51
35,Sun Yat Sen University,CHINA MAINLAND,117.38,108.11,51.16,94.36,74.28,68.32,513.6
36,Duke University,USA,103.11,111.0,51.59,95.91,78.79,72.38,512.78
37,University of Tokyo,JAPAN,111.62,108.95,52.35,92.88,73.21,73.33,512.34
38,KU Leuven,BELGIUM,101.97,108.75,50.04,94.22,77.29,79.97,512.24
39,University of New South Wales Sydney,AUSTRALIA,105.19,109.0,50.2,93.9,75.96,76.97,511.22
40,University of Amsterdam,NETHERLANDS,103.22,108.73,49.83,94.22,77.12,77.36,510.48
41,Ohio State University,USA,105.99,109.05,52.12,94.55,76.49,71.47,509.66
42,Huazhong University of Science & Technology,CHINA MAINLAND,112.3,108.32,50.26,95.74,76.19,66.38,509.19
43,University of Pittsburgh,USA,101.34,110.1,51.44,95.73,79.08,70.56,508.24
44,Karolinska Institutet,SWEDEN,99.22,108.66,48.34,94.19,78.18,78.27,506.86
45,Fudan University,CHINA MAINLAND,112.61,108.01,50.15,93.62,74.4,67.52,506.31
46,University of Chicago,USA,99.33,110.83,49.73,94.77,79.5,70.53,504.69
47,Northwestern University,USA,99.59,110.89,50.19,95.22,79.55,68.54,503.98
48,Utrecht University,NETHERLANDS,101.28,107.96,48.81,93.24,76.42,75.96,503.66
49,Seoul National University (SNU),SOUTH KOREA,109.21,106.77,51.3,93.31,74.09,68.24,502.92
50,University of Minnesota Twin Cities,USA,104.24,108.06,51.1,93.22,75.13,70.77,502.52
51,King's College London,ENGLAND,97.36,108.08,49.79,93.33,77.65,76.12,502.33
52,McGill University,CANADA,99.97,107.17,49.81,92.81,75.8,76.64,502.21
53,University of Manchester,ENGLAND,99.77,107.7,49.71,92.6,75.86,76.14,501.78
54,University of North Carolina Chapel Hill,USA,99.52,109.42,50.07,94.99,78.47,68.73,501.2
55,Ruprecht Karls University Heidelberg,GERMANY (FED REP GER),96.41,108.42,48.37,93.84,79.13,74.34,500.5
56,University of Edinburgh,SCOTLAND,97.11,107.56,48.44,92.55,77.92,74.67,498.25
57,University of Barcelona,SPAIN,98.56,106.62,48.47,91.95,76.62,75.26,497.48
58,Central South University,CHINA MAINLAND,112.87,104.96,48.68,92.57,73.54,63.24,495.86
59,ETH Zurich,SWITZERLAND,98.68,107.76,47.29,90.78,75.42,75.9,495.82
60,Nanyang Technological University,SINGAPORE,96.33,107.85,46.91,91.8,76.62,75.58,495.1
61,University of Munich,GERMANY (FED REP GER),96.73,106.43,48.22,91.79,76.5,74.12,493.8
62,"University of Science & Technology of China, CAS",CHINA MAINLAND,107.92,106.34,47.91,91.27,73.76,64.39,491.59
63,Xi'an Jiaotong University,CHINA MAINLAND,110.97,103.19,49.27,91.57,71.8,64.79,491.59
64,Free University of Berlin,GERMANY (FED REP GER),97.42,105.1,48.41,90.61,75.2,74.2,490.94
65,University of Wisconsin Madison,USA,100.22,105.83,50.01,91.17,73.45,68.14,488.82
66,Washington University (WUSTL),USA,94.3,107.58,48.12,93.48,79.73,65.61,488.81
67,Humboldt University of Berlin,GERMANY (FED REP GER),95.92,104.72,48.11,90.62,75.38,73.63,488.38
68,University of Florida,USA,104.09,103.63,50.77,88.52,69.87,71.44,488.32
69,Pennsylvania State University,USA,102.09,104.35,49.71,90.22,72.14,69.59,488.09
70,New York University,USA,94.69,105.67,49.2,92.36,76.81,68.57,487.3
71,Ghent University,BELGIUM,97.52,103.91,48.03,89.43,72.47,75.84,487.2
72,University of Groningen,NETHERLANDS,96.45,104.23,46.7,90.33,74.97,73.44,486.13
73,Sichuan University,CHINA MAINLAND,110.8,102.66,49.33,89.98,70.42,61.95,485.13
74,Technical University of Munich,GERMANY (FED REP GER),96.38,103.98,47.79,89.43,74.07,73.06,484.71
75,Harbin Institute of Technology,CHINA MAINLAND,107.47,102.42,48.73,90.89,71.76,63.06,484.33
76,University of California Davis,USA,98.87,104.23,48.79,89.36,72.45,70.4,484.1
77,Wuhan University,CHINA MAINLAND,106.02,103.84,47.2,91.07,73.39,62.32,483.84
78,Emory University,USA,94.19,105.33,48.36,92.14,77.62,65.82,483.45
79,Aarhus University,DENMARK,96.67,102.73,46.85,89.21,73.06,74.25,482.78
80,University of Alberta,CANADA,98.09,102.16,48.15,88.26,71.27,73.32,481.24
81,Nanjing University,CHINA MAINLAND,102.33,104.47,46.78,90.0,73.25,63.47,480.31
82,Vrije Universiteit Amsterdam,NETHERLANDS,93.2,103.52,46.52,89.2,73.32,72.76,478.52
83,Sapienza University Rome,ITALY,97.39,101.78,48.58,87.64,71.41,70.87,477.67
84,University of Oslo,NORWAY,93.02,101.93,46.29,89.17,74.03,73.06,477.49
85,Erasmus University Rotterdam,NETHERLANDS,90.59,102.78,45.83,90.04,76.16,71.58,476.98
86,University of Padua,ITALY,96.04,101.74,47.09,87.23,72.01,71.66,475.77
87,Kyoto University,JAPAN,100.42,102.29,48.33,87.59,70.1,66.91,475.64
88,University of Helsinki,FINLAND,93.18,101.99,45.74,88.29,73.52,72.22,474.93
89,Shandong University,CHINA MAINLAND,107.33,100.28,48.39,88.27,68.7,61.69,474.66
90,Leiden University,NETHERLANDS,91.88,102.43,46.02,88.14,73.55,72.33,474.36
91,University of Zurich,SWITZERLAND,91.98,102.22,45.48,88.09,73.39,72.87,474.03
92,PSL Research University Paris (ComUE),FRANCE,92.97,102.66,45.72,87.2,72.83,72.01,473.39
93,University of Southern California,USA,93.6,102.16,47.62,88.91,73.47,66.8,472.56
94,Lund University,SWEDEN,92.51,100.54,45.64,87.41,71.92,72.22,470.24
95,Tianjin University,CHINA MAINLAND,104.04,100.47,46.2,88.03,70.07,61.32,470.13
96,Vanderbilt University,USA,91.26,103.23,47.26,89.5,75.11,63.6,469.97
97,University of Texas Austin,USA,95.12,102.19,47.15,87.77,71.78,65.83,469.84
98,Universite de Montpellier,FRANCE,96.05,99.85,45.67,85.16,69.75,72.16,468.64
