rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,subjects_offered,year
1201–1500,Chung Yuan Christian University,18.4–24.3,12520,17.2,1457,21.9,665,26.6,1271,48.5,440,42.9,876,Taiwan,"15,037",31.3,9%,"Art, Performing Arts & Design,Economics & Econometrics,Physics & Astronomy,Electrical & Electronic Engineering,Education,Civil Engineering,Computer Science,Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Psychology,Law,Chemical Engineering,Mathematics & Statistics,Architecture,General Engineering,Biological Sciences,Chemistry,Accounting & Finance",2023
1201–1500,Cochin University of Science and Technology,18.4–24.3,12530,37.8,283,18.6,814,12.8,1609,37.4,1463,16.9,1771,India,"3,969",16.9,1%,"Law,General Engineering,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Physics & Astronomy,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry",2023
1201–1500,University of Colorado Colorado Springs,18.4–24.3,12540,17.1,1467,12.7,1208,32.9,1150,38.4,1205,24.7,1486,United States,"12,380",21.2,1%,"Education,Chemistry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Business & Management,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Computer Science,Geography,Accounting & Finance,General Engineering,Mathematics & Statistics,Communication & Media Studies,Economics & Econometrics,Other Health,Physics & Astronomy,Sociology,Languages, Literature & Linguistics,Sport Science,Art, Performing Arts & Design,Psychology",2023
1201–1500,University of Concepción,18.4–24.3,12550,16.4,1561,14.0,1104,30.1,1211,49.9,410,50.7,653,Chile,"28,112",17.1,2%,"Education,Physics & Astronomy,Accounting & Finance,Business & Management,Law,Communication & Media Studies,Other Health,Agriculture & Forestry,Geography,History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Electrical & Electronic Engineering,Sport Science,Languages, Literature & Linguistics,Computer Science,Chemistry,Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Psychology,Medicine & Dentistry,Veterinary Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,General Engineering,Biological Sciences",2023
1201–1500,Corvinus University of Budapest,18.4–24.3,12560,16.0,1600,12.2,1266,23.0,1353,37.2,1557,43.5,848,Hungary,"11,225",21.3,15%,"Economics & Econometrics,Business & Management,Law,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Geography,Communication & Media Studies,History, Philosophy & Theology,Sport Science,Languages, Literature & Linguistics,Psychology,Computer Science,Sociology,Education",2023
1201–1500,Czech Technical University in Prague,18.4–24.3,12570,23.2,856,16.1,946,15.5,1543,48.4,444,58.2,510,Czech Republic,"16,217",8.8,20%,"Architecture,Mathematics & Statistics,Accounting & Finance,Economics & Econometrics,Art, Performing Arts & Design,General Engineering,Computer Science,Education,Electrical & Electronic Engineering,Business & Management,Other Health,Civil Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering",2023
1201–1500,Damghan University,18.4–24.3,12580,18.1,1326,13.3,1160,25.4,1298,39.1,1089,23.4,1546,Iran,"4,980",28.6,0%,"Art, Performing Arts & Design,Mathematics & Statistics,Civil Engineering,Economics & Econometrics,Sport Science,Electrical & Electronic Engineering,Law,Geography,Mechanical & Aerospace Engineering,Physics & Astronomy,Computer Science,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemistry,Biological Sciences",2023
1201–1500,De La Salle University,18.4–24.3,12590,18.1,1327,13.4,1151,23.6,1339,36.9,1734,25.6,1438,Philippines,"12,941",14.9,3%,"Economics & Econometrics,Mechanical & Aerospace Engineering,Business & Management,Law,Chemical Engineering,Education,Chemistry,Biological Sciences,Communication & Media Studies,General Engineering,Civil Engineering,Psychology,Computer Science,Languages, Literature & Linguistics,Accounting & Finance,History, Philosophy & Theology,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sociology,Electrical & Electronic Engineering",2023
1201–1500,Del Rosario University,18.4–24.3,12600,16.8,1511,11.6,1315,25.3,1300,38.4,1206,48.4,711,Colombia,"11,751",13.2,2%,"Medicine & Dentistry,Education,Business & Management,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Psychology,Law,Accounting & Finance,General Engineering,Economics & Econometrics,Architecture,Biological Sciences,History, Philosophy & Theology,Communication & Media Studies,Sociology,Other Health",2023
1201–1500,Democritus University of Thrace,18.4–24.3,12610,15.2,1667,13.8,1117,36.9,1079,37.9,1312,32.6,1173,Greece,"22,230",37.0,4%,"General Engineering,Education,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Economics & Econometrics,Civil Engineering,Agriculture & Forestry,Sociology,Biological Sciences,Medicine & Dentistry,Sport Science,Law",2023
1201–1500,Dokuz Eylül University,18.4–24.3,12620,18.4,1280,13.3,1161,20.9,1404,95.8,37,21.7,1619,Turkey,"56,233",17.6,3%,"Languages, Literature & Linguistics,Other Health,Accounting & Finance,Politics & International Studies (incl Development Studies),Physics & Astronomy,Civil Engineering,Business & Management,Mathematics & Statistics,History, Philosophy & Theology,Education,Biological Sciences,Mechanical & Aerospace Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Sport Science,Architecture,Veterinary Science,Archaeology,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Computer Science,Law,Psychology",2023
1201–1500,Ege University,18.4–24.3,12630,21.8,969,13.3,1162,19.0,1440,46.7,496,24.1,1512,Turkey,"33,062",18.5,4%,"Mathematics & Statistics,Physics & Astronomy,Business & Management,Sport Science,Sociology,Architecture,General Engineering,Chemistry,Archaeology,History, Philosophy & Theology,Education,Computer Science,Economics & Econometrics,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Communication & Media Studies,Accounting & Finance,Medicine & Dentistry,Agriculture & Forestry,Chemical Engineering,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Geography,Other Health,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",2023
1201–1500,Ehime University,18.4–24.3,12640,20.7,1058,15.3,1005,21.7,1388,44.0,613,27.1,1382,Japan,"9,204",13.3,2%,"Geography,Chemical Engineering,Sociology,Law,Physics & Astronomy,Mathematics & Statistics,Education,Art, Performing Arts & Design,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Communication & Media Studies,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Archaeology,General Engineering,Psychology,Chemistry,History, Philosophy & Theology,Computer Science,Economics & Econometrics,Agriculture & Forestry,Languages, Literature & Linguistics,Civil Engineering,Other Health,Business & Management",2023
1201–1500,El Bosque University,18.4–24.3,12650,20.3,1101,7.8,1785,19.7,1423,37.9,1315,44.1,830,Colombia,"12,721",6.6,0%,"Business & Management,Communication & Media Studies,Art, Performing Arts & Design,Education,Medicine & Dentistry,Languages, Literature & Linguistics,General Engineering,Architecture,Other Health,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Biological Sciences,Accounting & Finance,Electrical & Electronic Engineering,History, Philosophy & Theology,Law,Economics & Econometrics,Psychology",2023
1201–1500,The University of Electro-Communications,18.4–24.3,12660,19.9,1137,21.1,704,10.5,1661,44.3,596,32.6,1174,Japan,"4,662",15.4,6%,"Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sport Science,Chemistry,General Engineering,Chemical Engineering,Computer Science,Communication & Media Studies,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance,Mathematics & Statistics",2023
1201–1500,Erciyes University,18.4–24.3,12670,20.0,1130,14.1,1099,23.7,1336,68.9,203,24.1,1513,Turkey,"50,212",36.2,4%,"Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Mathematics & Statistics,General Engineering,Other Health,Education,Sport Science,Electrical & Electronic Engineering,Chemistry,Business & Management,Architecture,Medicine & Dentistry,Law,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Veterinary Science,Sociology,Art, Performing Arts & Design,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Civil Engineering",2023
1201–1500,Escuela Superior Politécnica del Litoral,18.4–24.3,12680,16.1,1591,10.2,1484,35.0,1110,37.0,1664,54.3,585,Ecuador,"11,549",12.8,1%,"Art, Performing Arts & Design,Biological Sciences,Archaeology,Agriculture & Forestry,Business & Management,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Accounting & Finance,Mathematics & Statistics,Languages, Literature & Linguistics,History, Philosophy & Theology,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Communication & Media Studies,Education,Sport Science,Sociology,Economics & Econometrics",2023
1201–1500,Universidade do Estado do Rio de Janeiro (UERJ),18.4–24.3,12690,24.9,753,12.4,1240,17.4,1478,39.9,977,24.2,1505,Brazil,"22,458",9.1,0%,"Archaeology,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Education,Mathematics & Statistics,Architecture,Business & Management,Biological Sciences,Accounting & Finance,Civil Engineering,Physics & Astronomy,Sociology,Other Health,Mechanical & Aerospace Engineering,Geography,Computer Science,Chemistry,History, Philosophy & Theology,General Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Psychology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science",2023
1201–1500,Far Eastern Federal University,18.4–24.3,12700,27.7,614,18.4,823,16.1,1529,43.6,637,53.9,591,Russian Federation,"15,585",12.3,21%,"Education,Communication & Media Studies,Architecture,Business & Management,Mechanical & Aerospace Engineering,Psychology,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Sport Science,Chemical Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Agriculture & Forestry,Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Sociology,History, Philosophy & Theology,Electrical & Electronic Engineering,Geography,Archaeology,Medicine & Dentistry,Law,Chemistry,General Engineering,Physics & Astronomy,Accounting & Finance",2023
1201–1500,Universidade Federal do ABC (UFABC),18.4–24.3,12710,17.6,1410,15.4,997,32.6,1157,38.1,1271,34.9,1100,Brazil,"16,706",22.2,1%,"Physics & Astronomy,Mathematics & Statistics,Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Other Health,Biological Sciences,General Engineering,History, Philosophy & Theology,Agriculture & Forestry,Sociology,Chemistry,Education,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics",2023
1201–1500,Universidade Federal da Bahia,18.4–24.3,12720,24.6,775,11.1,1371,25.6,1291,37.2,1562,24.6,1490,Brazil,"45,692",17.4,0%,"Chemistry,Archaeology,Politics & International Studies (incl Development Studies),Chemical Engineering,Physics & Astronomy,General Engineering,Architecture,Sport Science,Other Health,Communication & Media Studies,Veterinary Science,Economics & Econometrics,Mathematics & Statistics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Computer Science,Biological Sciences,Education,Business & Management,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Geography,Law,Electrical & Electronic Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Psychology,Civil Engineering,Sociology",2023
1201–1500,Federal University of Espírito Santo,18.4–24.3,12730,20.4,1086,12.2,1267,22.5,1366,42.1,739,24.8,1480,Brazil,"23,475",13.4,1%,"Economics & Econometrics,History, Philosophy & Theology,Veterinary Science,Physics & Astronomy,Chemistry,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Electrical & Electronic Engineering,Chemical Engineering,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Art, Performing Arts & Design,Medicine & Dentistry,Biological Sciences,Geography,Business & Management,Law,Sport Science,Accounting & Finance,Psychology,Sociology,Other Health,Architecture,Computer Science",2023
1201–1500,Federal University of Goiás,18.4–24.3,12740,22.5,910,13.0,1187,19.2,1432,38.8,1145,23.7,1531,Brazil,"25,511",13.7,1%,"Civil Engineering,Biological Sciences,Sociology,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Education,General Engineering,Chemical Engineering,Mathematics & Statistics,Psychology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,History, Philosophy & Theology,Geography,Law,Computer Science,Architecture,Other Health,Sport Science,Medicine & Dentistry,Art, Performing Arts & Design,Communication & Media Studies,Accounting & Finance,Veterinary Science,Physics & Astronomy,Mechanical & Aerospace Engineering",2023
1201–1500,Federal University of Lavras,18.4–24.3,12750,24.7,766,17.1,884,15.7,1539,54.3,333,23.1,1557,Brazil,"14,637",18.4,1%,"Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Chemical Engineering,History, Philosophy & Theology,Computer Science,Mathematics & Statistics,Biological Sciences,Other Health,Chemistry,Business & Management,Veterinary Science,Civil Engineering,General Engineering,Agriculture & Forestry,Languages, Literature & Linguistics,Medicine & Dentistry,Physics & Astronomy,Law,Education,Sport Science",2023
1201–1500,Universidade Federal do Paraná (UFPR),18.4–24.3,12760,25.4,715,16.0,955,15.2,1551,39.1,1090,23.9,1518,Brazil,"33,621",13.4,0%,"Economics & Econometrics,Biological Sciences,Geography,Civil Engineering,Physics & Astronomy,Archaeology,Chemistry,Education,History, Philosophy & Theology,Chemical Engineering,Law,Sociology,Accounting & Finance,Medicine & Dentistry,Veterinary Science,Architecture,Other Health,Sport Science,Communication & Media Studies,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Psychology,Art, Performing Arts & Design,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Business & Management,General Engineering,Mathematics & Statistics",2023
1201–1500,Federal University of Rio Grande do Norte (UFRN),18.4–24.3,12770,22.2,932,10.1,1496,34.0,1130,38.5,1184,27.1,1383,Brazil,"37,879",14.7,0%,"Chemical Engineering,Mathematics & Statistics,Other Health,Sociology,Accounting & Finance,Architecture,Education,Business & Management,Languages, Literature & Linguistics,Chemistry,Electrical & Electronic Engineering,Medicine & Dentistry,Mechanical & Aerospace Engineering,Law,Psychology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Geography,Biological Sciences,General Engineering,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Physics & Astronomy,Agriculture & Forestry",2023
1201–1500,Federal University of Santa Maria,18.4–24.3,12780,22.1,940,12.1,1275,33.9,1133,37.8,1345,21.5,1631,Brazil,"27,242",13.7,1%,"Medicine & Dentistry,Law,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Other Health,Agriculture & Forestry,Computer Science,Chemistry,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Mathematics & Statistics,Veterinary Science,Chemical Engineering,Architecture,Sociology,Biological Sciences,History, Philosophy & Theology,Physics & Astronomy,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Accounting & Finance,Psychology,Archaeology,Civil Engineering,Geography,Economics & Econometrics,Sport Science,Education",2023
1201–1500,Federal University of São Carlos,18.4–24.3,12790,28.1,599,19.0,794,18.4,1453,42.8,695,26.1,1418,Brazil,"20,314",15.4,1%,"Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Archaeology,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Economics & Econometrics,Mathematics & Statistics,Sport Science,Geography,History, Philosophy & Theology,Agriculture & Forestry,Medicine & Dentistry,Business & Management,Chemistry,Languages, Literature & Linguistics,Communication & Media Studies,Psychology,General Engineering,Accounting & Finance,Art, Performing Arts & Design,Physics & Astronomy,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,Mechanical & Aerospace Engineering,Education,Architecture,Veterinary Science",2023
1201–1500,Federal University of Uberlândia,18.4–24.3,12800,23.0,873,11.1,1372,34.6,1116,39.4,1044,21.4,1634,Brazil,"25,748",13.6,1%,"Education,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Law,Geography,Economics & Econometrics,Biological Sciences,Psychology,Accounting & Finance,Other Health,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Architecture,Computer Science,Veterinary Science,History, Philosophy & Theology,Civil Engineering,Chemistry,Business & Management,Agriculture & Forestry,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Sport Science",2023
1201–1500,Federal University of Viçosa,18.4–24.3,12810,28.3,590,16.7,910,15.2,1552,43.7,631,21.7,1622,Brazil,"16,436",13.3,2%,"Geography,Civil Engineering,Biological Sciences,General Engineering,Architecture,Sociology,Business & Management,Mathematics & Statistics,Communication & Media Studies,Sport Science,Mechanical & Aerospace Engineering,Other Health,Economics & Econometrics,Languages, Literature & Linguistics,Accounting & Finance,Physics & Astronomy,Electrical & Electronic Engineering,Medicine & Dentistry,Veterinary Science,Computer Science,Chemistry,Agriculture & Forestry,Education,Law,Chemical Engineering,History, Philosophy & Theology",2023
1201–1500,Federico Santa María Technical University,18.4–24.3,12820,14.0,1750,12.0,1284,27.3,1265,39.4,1045,54.8,578,Chile,"22,405",30.0,3%,"Accounting & Finance,Architecture,Mathematics & Statistics,Electrical & Electronic Engineering,General Engineering,Business & Management,Physics & Astronomy,Chemical Engineering,Economics & Econometrics,Chemistry,Computer Science,Mechanical & Aerospace Engineering,Civil Engineering",2023
1201–1500,University of Fort Hare,18.4–24.3,12830,22.5,911,12.4,1243,22.5,1367,37.0,1667,43.9,832,South Africa,"13,626",38.4,2%,"Business & Management,Biological Sciences,Art, Performing Arts & Design,Education,Communication & Media Studies,Economics & Econometrics,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,History, Philosophy & Theology,Physics & Astronomy,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Sociology,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Law,Geography,Other Health,Chemistry",2023
1201–1500,University of La Frontera,18.4–24.3,12840,16.0,1601,12.9,1201,28.8,1237,37.1,1606,49.7,676,Chile,"11,053",22.0,1%,"Computer Science,Sociology,Electrical & Electronic Engineering,Veterinary Science,Law,Psychology,Agriculture & Forestry,Sport Science,Education,Medicine & Dentistry,General Engineering,Civil Engineering,Business & Management",2023
1201–1500,Fujian Normal University,18.4–24.3,12850,17.3,1446,10.5,1450,43.9,955,39.3,1060,23.5,1542,China,"31,697",14.2,2%,"Accounting & Finance,Sport Science,Education,Biological Sciences,History, Philosophy & Theology,Psychology,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Law,Physics & Astronomy,Electrical & Electronic Engineering,Sociology,Chemistry,Business & Management",2023
1201–1500,Université de Gabès,18.4–24.3,12860,18.1,1331,9.3,1603,25.7,1289,36.9,1746,42.1,897,Tunisia,"13,152",12.8,1%,"Computer Science,Law,Business & Management,Mechanical & Aerospace Engineering,Economics & Econometrics,Agriculture & Forestry,Accounting & Finance,Sociology,General Engineering,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Mathematics & Statistics,Other Health,Biological Sciences,Chemistry,Architecture,Education",2023
1201–1500,Universitas Gadjah Mada,18.4–24.3,12870,25.6,709,17.3,876,11.3,1641,71.7,183,36.2,1061,Indonesia,"38,089",8.1,4%,"Mathematics & Statistics,Law,Languages, Literature & Linguistics,Chemical Engineering,Computer Science,Veterinary Science,Communication & Media Studies,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Archaeology,Economics & Econometrics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Business & Management,Psychology,General Engineering,Chemistry,Civil Engineering,Architecture,Other Health,Physics & Astronomy,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sociology,Biological Sciences,Electrical & Electronic Engineering,History, Philosophy & Theology,Geography",2023
1201–1500,Gazi University,18.4–24.3,12880,27.5,622,16.2,941,23.0,1355,92.7,56,18.9,1719,Turkey,"41,358",20.6,3%,"Physics & Astronomy,Other Health,Civil Engineering,Architecture,Chemical Engineering,Biological Sciences,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Education,Chemistry,General Engineering,Mathematics & Statistics,Sport Science,Languages, Literature & Linguistics,Computer Science,Medicine & Dentistry",2023
1201–1500,University of Gdańsk,18.4–24.3,12890,18.4,1283,15.5,990,19.1,1438,38.0,1293,34.7,1112,Poland,"19,970",23.9,2%,"Business & Management,Psychology,Biological Sciences,Communication & Media Studies,Physics & Astronomy,Sociology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Geography,Mathematics & Statistics,Economics & Econometrics,Law,Education,Accounting & Finance,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Computer Science,Archaeology",2023
1201–1500,Gdańsk University of Technology,18.4–24.3,12900,17.7,1388,15.1,1014,33.3,1142,45.0,563,29.9,1273,Poland,"14,816",19.9,5%,"Civil Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Physics & Astronomy,Chemical Engineering,Computer Science,Chemistry,Mechanical & Aerospace Engineering,General Engineering",2023
1201–1500,Gebze Technical University,18.4–24.3,12910,20.5,1076,14.4,1074,22.1,1378,44.1,607,25.5,1443,Turkey,"8,403",22.7,2%,"Chemistry,Economics & Econometrics,Chemical Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Civil Engineering,Accounting & Finance,Computer Science,Business & Management,Biological Sciences,Architecture,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering",2023
1201–1500,Georgia Southern University,18.4–24.3,12920,21.9,959,11.4,1330,33.9,1134,39.4,1047,28.0,1343,United States,"22,885",18.8,3%,"Sport Science,Economics & Econometrics,Electrical & Electronic Engineering,Sociology,Business & Management,Politics & International Studies (incl Development Studies),Computer Science,Geography,Chemical Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Medicine & Dentistry,Biological Sciences,Mathematics & Statistics,History, Philosophy & Theology,Communication & Media Studies,Education,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Psychology",2023
1201–1500,German University in Cairo,18.4–24.3,12930,15.0,1689,8.8,1674,38.4,1057,36.9,1748,43.0,870,Egypt,"11,937",14.9,1%,"Accounting & Finance,Civil Engineering,Computer Science,Architecture,Biological Sciences,Business & Management,General Engineering,Art, Performing Arts & Design,Economics & Econometrics,Law,Other Health,Communication & Media Studies,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",2023
1201–1500,Gifu University,18.4–24.3,12940,25.7,704,13.0,1188,17.2,1489,42.1,740,26.1,1419,Japan,"7,216",7.5,5%,"General Engineering,Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Sociology,Business & Management,Accounting & Finance,Electrical & Electronic Engineering,Medicine & Dentistry,Veterinary Science,Education,Civil Engineering,Chemical Engineering,Other Health,Agriculture & Forestry",2023
1201–1500,Government College University Lahore,18.4–24.3,12950,17.5,1420,11.5,1320,21.0,1401,37.3,1507,43.7,840,Pakistan,"11,276",19.4,0%,"Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Accounting & Finance,Languages, Literature & Linguistics,Physics & Astronomy,Computer Science,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Sport Science,Psychology,Geography,Education,Business & Management,History, Philosophy & Theology,Mathematics & Statistics,Chemistry",2023
1201–1500,Grand Valley State University,18.4–24.3,12960,26.7,665,9.0,1644,19.2,1434,37.0,1671,30.6,1248,United States,"20,972",15.3,1%,"Languages, Literature & Linguistics,Electrical & Electronic Engineering,Other Health,Computer Science,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,General Engineering,Psychology,Biological Sciences,Economics & Econometrics,Agriculture & Forestry,Civil Engineering,Sport Science,Communication & Media Studies,Business & Management,Education,Mechanical & Aerospace Engineering,Physics & Astronomy,Geography,History, Philosophy & Theology,Sociology,Geology, Environmental, Earth & Marine Sciences,Chemistry,Politics & International Studies (incl Development Studies)",2023
1201–1500,Gunma University,18.4–24.3,12970,24.2,798,13.0,1189,17.1,1494,40.7,872,23.5,1543,Japan,"6,300",7.7,5%,"Other Health,General Engineering,Computer Science,Civil Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,Medicine & Dentistry,Communication & Media Studies,Education,Sociology",2023
1201–1500,Gyeongsang National University,18.4–24.3,12980,20.8,1051,17.0,894,21.2,1398,40.9,853,26.4,1404,South Korea,"12,996",12.3,3%,"Business & Management,Veterinary Science,Other Health,Psychology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Medicine & Dentistry,Law,Archaeology,Economics & Econometrics,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Agriculture & Forestry,Physics & Astronomy,Architecture,General Engineering,Education,Geography,Chemistry,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics",2023
1201–1500,Hallym University,18.4–24.3,12990,19.8,1142,18.7,809,18.4,1454,45.1,558,21.4,1635,South Korea,"7,947",9.4,4%,"Politics & International Studies (incl Development Studies),Mathematics & Statistics,Medicine & Dentistry,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Computer Science,Biological Sciences,Law,Business & Management,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Chemistry,Accounting & Finance,General Engineering,Sociology,Other Health",2023
1201–1500,Harbin Engineering University,18.4–24.3,13000,24.6,776,23.2,616,18.6,1450,79.3,121,21.7,1623,China,"29,861",18.7,3%,"Law,Psychology,Mechanical & Aerospace Engineering,Architecture,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Chemistry,Languages, Literature & Linguistics,Business & Management,Electrical & Electronic Engineering,Chemical Engineering,Sociology,Mathematics & Statistics,Computer Science,Civil Engineering",2023
1201–1500,Hasanuddin University,18.4–24.3,13010,18.4,1286,10.9,1404,25.5,1295,44.5,583,26.4,1405,Indonesia,"33,601",14.6,1%,"Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering",2023
